"file","name","parameters","returns","side_effects","version","notes"
"src/calendar.py","shift_trade_day","(date: str, n: int, trade_days: list[str])","str","NONE","v0.1","交易日位移（n可正负）；用于forward return对齐与窗口截取。"
"src/calendar.py","align_to_trade_days","(dates: list[str], trade_days: list[str], *, how: str = 'inner')","list[str]","NONE","v0.1","将任意日期序列对齐到交易日集合（inner/left等）；失败模式：非交易日映射规则需明确并记录。"
"src/universe.py","build_universe","(cfg: Config, trade_days: list[str], *, io: MyQuantIO | None = None)","pd.DataFrame(date×code, bool)","READ_DISK|WRITE_DISK|NETWORK","v0.1","构建股票池（默认CSI500滚动成分或全A过滤）；必须支持增量更新与滚动存储；过滤ST/上市天数/退市/暂停上市等。"
"src/universe.py","apply_universe_filters","(universe: pd.DataFrame, panel: pd.DataFrame, *, min_list_days: int = 126, exclude_st: bool = True)","pd.DataFrame(date×code, bool)","NONE","v0.1","统一过滤规则：上市天数、ST、缺失严重等；输出可交易mask并统计覆盖率。"
"src/universe.py","universe_roll_union","(members: pd.DataFrame, *, lookback_days: int = 20)","pd.DataFrame(date×code, bool)","NONE","v0.1","滚动并集股票池（用于平滑调入调出与提升覆盖）；需保证只依赖历史信息，避免前视。"
"src/store.py","DataStore","(class; init(root: str, *, lock_dir: str = 'state/locks'))","DataStore","READ_DISK|WRITE_DISK","v0.1","本地数据湖I/O：raw/panel/cache/metadata 读写；需原子写与文件锁；记录版本hash与构建参数；支持append+rolloff(keep_last=252)。"
"src/store.py","load_raw","(store: DataStore, key: str, start: str | None = None, end: str | None = None)","pd.DataFrame","READ_DISK","v0.1","读取raw分区数据（如ohlcv/industry/mcap等）；需按交易日裁剪并保证dtype稳定；缺失需显式。"
"src/store.py","save_raw","(store: DataStore, key: str, df: pd.DataFrame, *, version_tag: str, mode: str = 'append')","None",WRITE_DISK,"v0.1","写入raw数据；必须原子写+锁；mode=append用于增量；需更新metadata（字段、dtype、版本、来源、cfg_fingerprint）。 [SIDE_EFFECTS_NORMALIZED_NEEDS_REVIEW]"
"src/store.py","load_panel","(store: DataStore, key: str, start: str | None = None, end: str | None = None)","pd.DataFrame(date×code, float32/float64)","READ_DISK","v0.1","读取panel或派生特征面板；必须返回对齐的(date×code)结构。"
"src/store.py","save_panel","(store: DataStore, key: str, panel: pd.DataFrame, *, version_tag: str, mode: str = 'append', keep_last: int = 252)","None",WRITE_DISK,"v0.1","写入panel/特征；append并滚动保留keep_last；失败模式：日期不连续/重复需去重并记录。 [SIDE_EFFECTS_NORMALIZED_NEEDS_REVIEW]"
"src/store.py","load_cache","(store: DataStore, expr_hash: str, start: str | None = None, end: str | None = None)","pd.DataFrame(date×code, float32)","READ_DISK","v0.1","读取中间量缓存（按子表达式hash）；必须校验依赖版本/失效规则，不匹配则视为未命中。"
"src/store.py","save_cache","(store: DataStore, expr_hash: str, panel: pd.DataFrame, *, version_tag: str, keep_last: int = 252)","None",WRITE_DISK,"v0.1","落盘缓存中间量；需记录存储bytes、覆盖率、生成耗时，用于cache_planner成本校准。 [SIDE_EFFECTS_NORMALIZED_NEEDS_REVIEW]"
"src/store.py","list_available_dates","(store: DataStore, key: str)","list[str]","READ_DISK","v0.1","列出某数据键已落盘的交易日范围/分区，用于增量下载与增量构建判定。"
"src/features/registry.py","FeatureRegistry","(class; init())","FeatureRegistry","NONE","v0.1","特征注册表：feature_name→builder/loader/依赖声明；用于统一构建基础特征与后续扩展。"
"src/features/registry.py","register_feature","(reg: FeatureRegistry, name: str, builder: Callable[(cfg: Config), pd.DataFrame], *, requires: list[str] = [], cacheable: bool = True)","None","NONE","v0.1","注册特征；requires用于依赖追踪与增量构建；cacheable标记是否可落盘。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/features/registry.py","build_features","(reg: FeatureRegistry, store: DataStore, names: list[str], start: str, end: str, *, overwrite: bool = False)","dict[str, pd.DataFrame]","READ_DISK|WRITE_DISK","v0.1","批量构建特征并共享中间数据；必须保证对齐(date×code)与dtype；overwrite=False时仅补齐缺失交易日。"
"src/features/registry.py","load_feature","(store: DataStore, name: str, start: str | None = None, end: str | None = None)","pd.DataFrame(date×code, float32/float64)","READ_DISK","v0.1","从data/panel读取已构建特征；缺失时由上层决定是否触发构建。"
"src/features/registry.py","create_default_feature_registry","(cfg: Config)","FeatureRegistry","NONE","v0.1","创建默认特征注册表（至少包含base_features定义的价量派生特征）；口径需与data_contract一致。"
"src/features/base_features.py","build_base_features","(store: DataStore, start: str, end: str, *, features: list[str] | None = None)","dict[str, pd.DataFrame(date×code, float32)]","READ_DISK|WRITE_DISK","v0.1","基于OHLCV/amount等生成日频基础特征（ret/lnret/range/turnover等）；需处理停牌/复权口径；输出落盘到data/panel。"
"src/features/base_features.py","list_base_features","()","list[str]","NONE","v0.1","返回内置基础特征名列表，供配置与注册表使用。"
"src/features/intraday_agg.py","aggregate_intraday_to_daily","(store: DataStore, start: str, end: str, *, rules: dict[str, Any])","dict[str, pd.DataFrame(date×code, float32)]","READ_DISK|WRITE_DISK","v0.1","（可选）分钟数据→日内聚合特征；聚合后只落日频结果，避免保存分钟全量；失败模式：分钟缺失/停牌需降级并记录。"
"src/ops/registry.py","OpRegistry","(class; init())","OpRegistry","NONE","v0.1","算子注册表：op_name→实现函数/输入输出约束/窗口参数约束/可缓存标记/成本模型标签；表达式引擎通过此表执行。"
"src/ops/registry.py","register_op","(reg: OpRegistry, name: str, fn: Callable[(cfg: Config), Any], *, arity: int, kind: str, params_spec: dict[str, Any], cacheable: bool = True, cost_tag: str = 'default')","None","NONE","v0.1","注册算子；kind∈{elementwise,cross_section,time_series}；params_spec需约束窗口常数位置（仅允许出现在指定参数位）。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/ops/registry.py","get_op","(reg: OpRegistry, name: str)","Callable[dict[str, Any], Any]","NONE","v0.1","获取算子实现；若不存在需抛KeyError并在parser阶段提前拦截。 [CONTRACT_NORMALIZED_V0_1_NEEDS_REVIEW]"
"src/ops/registry.py","list_ops","(reg: OpRegistry, *, kind: str | None = None)","list[str]","NONE","v0.1","列出可用算子；用于随机生成表达式与合法性检查。"
"src/ops/registry.py","op_signature","(reg: OpRegistry, name: str)","dict[str, Any]","NONE","v0.1","返回算子签名/约束（arity、kind、参数限制、cacheable、cost_tag），供parser/canonicalize/GP约束使用。"
"src/ops/registry.py","create_default_op_registry","(cfg: Config)","OpRegistry","NONE","v0.1","创建默认算子集（elementwise/cross_section/time_series），并绑定安全数学实现；需包含PDF强调的窗口常数集合{1,5,10,20,40,60}等可配置集。"
"src/ops/safe_math.py","safe_div","(a: Any, b: Any, *, eps: float = 1e-12)","Any","NONE","v0.1","安全除法：避免除零/inf/nan；需对ndarray/Series/DataFrame兼容；用于表达式执行避免崩溃。"
"src/ops/safe_math.py","safe_log","(x: Any, *, eps: float = 1e-12)","Any","NONE","v0.1","安全log：对非正数做clip或置nan并记录；与缺失处理策略一致。"
"src/ops/safe_math.py","safe_sqrt","(x: Any, *, eps: float = 0.0)","Any","NONE","v0.1","安全sqrt：对负数处理；需与winsorize/zscore后数值范围兼容。"
"src/ops/safe_math.py","clip_inf_nan","(x: Any, *, nan_value: float = float('nan'), posinf_value: float = float('nan'), neginf_value: float = float('nan'))","Any","NONE","v0.1","统一清理inf/nan；表达式评估与fitness前都应调用并统计比例。"
"src/ops/elementwise.py","register_elementwise_ops","(reg: OpRegistry)","None","NONE","v0.1","注册逐元素算子（+ - * /、abs、log、rank-friendly非线性等）；具体实现内部可含helper不入契约。"
"src/ops/cross_section.py","register_cross_section_ops","(reg: OpRegistry)","None","NONE","v0.1","注册截面算子（rank、zscore、winsorize、group-neutral等）；按日横截面运算，必须处理缺失与样本量不足。"
"src/ops/time_series.py","register_time_series_ops","(reg: OpRegistry, *, allowed_windows: list[int])","None","NONE","v0.1","注册时序算子（rolling mean/std/min/max/corr/cov/ewm/delay/delta等）；窗口集必须受限（PDF强调常数窗口位置限制）。"
"src/ops/cost_model.py","estimate_op_cost","(op_name: str, signature: dict[str, Any], *, n_dates: int, n_codes: int)","float","NONE","v0.1","成本模型：估计某算子在给定面板规模下的计算成本，用于缓存规划与GP启发式（降低算力浪费）。"
"src/ops/cost_model.py","estimate_storage_bytes","(n_dates: int, n_codes: int, *, dtype: str = 'float32')","int","NONE","v0.1","估计单个(date×code)面板落盘字节数；供cache_planner预算约束。"
"src/expr/ast.py","ExprNode","(dataclass; fields: op: str, children: list['ExprNode'], params: dict[str, Any] = {}, leaf: str | None = None, const: float | None = None)","ExprNode","NONE","v0.1","表达式AST节点：op为算子名；leaf用于特征名；const用于常数；params包含窗口等；必须可序列化、可hash、可比较。"
"src/expr/ast.py","expr_to_string","(node: ExprNode)","str","NONE","v0.1","AST→规范表达式字符串（用于导出与复现）；需与parser互逆（round-trip）。"
"src/expr/ast.py","expr_complexity","(node: ExprNode)","dict[str, int]","NONE","v0.1","返回复杂度指标（node_count, depth等）；用于长度惩罚与反膨胀（超阈值可直接判无效）。"
"src/expr/parser.py","parse_expression","(expr: str, ops: OpRegistry, features: FeatureRegistry)","ExprNode","NONE","v0.1","表达式字符串→AST；函数式嵌套语法；必须做基本合法性检查（算子存在/arity匹配/窗口常数位置限制/特征存在）。"
"src/expr/parser.py","validate_expression","(node: ExprNode, ops: OpRegistry, features: FeatureRegistry)","None","NONE","v0.1","对AST做二次校验（类型/参数约束/禁止无意义运算）；失败模式需给可定位的错误信息（哪个子节点非法）。"
"src/expr/canonicalize.py","canonicalize_ast","(node: ExprNode, ops: OpRegistry)","ExprNode","NONE","v0.1","AST规范化：交换律排序、常数/窗口合法化、语义等价归一；用于去重与DAG合并；需保证幂等。"
"src/expr/canonicalize.py","canonical_hash","(node: ExprNode)","str","NONE","v0.1","返回规范化后的稳定hash（用于dedup/cache key）；必须跨进程/跨运行稳定（不依赖内存地址）。"
"src/expr/dag.py","ExprDAG","(class; fields: nodes: dict[str, ExprNode], roots: list[str], topo: list[str])","ExprDAG","NONE","v0.1","多表达式AST合并为DAG：公共子表达式按hash合并；topo为拓扑执行顺序；用于批量评估共享中间量。"
"src/expr/dag.py","build_dag","(roots: list[ExprNode])","ExprDAG","NONE","v0.1","从多个AST构建DAG；必须先canonicalize并合并；输出节点集与roots hash列表。"
"src/expr/evaluator.py","EvalStats","(TypedDict; keys: cache_hits: int, cache_misses: int, computed_nodes: int, seconds: float, failed_nodes: int)","type","NONE","v0.1","评估统计结构：用于日志与cache效果评估；实现中可扩展字段但需向后兼容。"
"src/expr/evaluator.py","ExpressionEvaluator","(class; init(ops: OpRegistry, store: DataStore, *, use_disk_cache: bool = True, memory_cache_max_items: int = 1024))","ExpressionEvaluator","READ_DISK|WRITE_DISK","v0.1","DAG执行器：给定(date,codes,panel)批量评估多个表达式共享中间量；支持内存缓存与落盘缓存；必须记录命中率与失败原因。"
"src/expr/evaluator.py","evaluate_many","(ev: ExpressionEvaluator, dag: ExprDAG, panel: dict[str, pd.DataFrame], dates: list[str], codes: list[str])","tuple[dict[str, pd.DataFrame(date×code, float32)], EvalStats]","READ_DISK|WRITE_DISK","v0.1","批量评估：panel为已加载特征面板字典；输出每个root的因子值面板；数值错误/样本不足需产生nan并记录failed_nodes。"
"src/neutralize/preprocess.py","winsorize_zscore_cs","(x: pd.DataFrame, *, lower_q: float = 0.01, upper_q: float = 0.99)","pd.DataFrame(date×code, float32)","NONE","v0.1","按日横截面清洗：winsorize(1%) + zscore；需处理缺失并输出覆盖率统计；这是fitness强制口径。"
"src/neutralize/preprocess.py","fill_missing_cs","(x: pd.DataFrame, *, method: str = 'median')","pd.DataFrame","NONE","v0.1","横截面缺失值填充（如中位数/0）；实现需记录填充比例；失败模式：有效样本太少则整日置nan。"
"src/neutralize/preprocess.py","coverage_stats","(x: pd.DataFrame, universe: pd.DataFrame | None = None)","dict[str, Any]","NONE","v0.1","覆盖率/缺失率统计（按日与总体）；用于FAST→FULL门控（缺失率过高直接跳过）。"
"src/neutralize/xsec_regress.py","build_neutral_design","(industry: pd.DataFrame, mcap: pd.DataFrame, *, add_intercept: bool = True)","dict[str, Any]","NONE","v0.1","构建中性化设计矩阵信息：行业哑变量 + ln(mcap)（至少）并可扩展风格因子；需保证与因子值同日同code对齐。"
"src/neutralize/xsec_regress.py","neutralize_cs","(x: pd.DataFrame, design: dict[str, Any], *, ridge_alpha: float = 1e-6)","tuple[pd.DataFrame(date×code, float32), dict[str, Any]]","NONE","v0.1","按日横截面Ridge回归取残差实现中性化；返回残差面板与诊断（R2、n、condition等）；失败模式：病态/样本不足则跳过并记录。"
"src/fitness/rank_ic.py","compute_forward_returns","(close: pd.DataFrame, *, horizon: int = 1)","pd.DataFrame(date×code, float32)","NONE","v0.1","计算forward return：对齐口径为t时点因子预测t→t+horizon收益；必须使用交易日shift避免前视；缺失/停牌需置nan。"
"src/fitness/rank_ic.py","compute_rank_ic_series","(factor: pd.DataFrame, fwd_ret: pd.DataFrame, universe: pd.DataFrame | None = None)","pd.Series(index=date, float)","NONE","v0.1","按日计算rankIC（横截面Spearman相关）；需过滤不可交易样本并处理ties；返回日序列。"
"src/fitness/rank_ic.py","compute_icir","(ic: pd.Series, *, annualization: int = 252)","float","NONE","v0.1","ICIR = mean(ic)/std(ic)*sqrt(annualization)；样本太少或std≈0需返回nan并记录。"
"src/fitness/rank_ic.py","summarize_ic","(ic: pd.Series, *, by_year: bool = True)","dict[str, Any]","NONE","v0.1","输出IC统计摘要（mean,std,icir,t-stat,n,分年等）；用于报告与因子库元数据。"
"src/fitness/penalties.py","length_penalty","(complexity: dict[str, int], *, max_nodes: int, max_depth: int, lambda_len: float = 0.01)","float","NONE","v0.1","长度/深度惩罚与硬阈值：超上限可直接判0；用于反膨胀（PDF强调避免公式膨胀）。"
"src/fitness/penalties.py","corr_penalty","(max_corr: float, *, soft_start: float = 0.3, hard_max: float = 0.5, lambda_corr: float = 1.0)","float","NONE","v0.1","相关性惩罚：max_corr>hard_max则fitness=0；soft区间线性/凸惩罚；用于控制同代/库内相关。"
"src/fitness/penalties.py","apply_penalties","(raw_fitness: float, *, len_pen: float, corr_pen: float)","float","NONE","v0.1","组合惩罚得到最终fitness；需保证非负并可解释；实现需记录各惩罚分量到metrics。"
"src/fitness/evaluator.py","FitnessEvaluator","(class; init(cfg: Config, store: DataStore, ev: ExpressionEvaluator), expressions: list[str])","FitnessEvaluator","READ_DISK|WRITE_DISK","v0.1","适应度评估器：实现FAST→FULL两阶段门控；输出统一metrics字典（ic、icir、n、miss、r2、penalties等）。 metrics keys: ic_mean, icir, n_days, miss_ratio, len, max_corr [HEURISTIC_FIX_NEEDS_REVIEW]"
"src/fitness/evaluator.py","evaluate_fast","(fe: FitnessEvaluator, expr: str, *, dates: list[str], codes: list[str], cfg: Config, expressions: list[str])","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","FAST阶段：用子样本/短窗/低成本近似快速筛；若覆盖率不足/缺失率过高/复杂度超限直接淘汰并记录原因。 metrics keys: ic_mean, icir, n_days, miss_ratio, len, max_corr [HEURISTIC_FIX_NEEDS_REVIEW]"
"src/fitness/evaluator.py","evaluate_full","(fe: FitnessEvaluator, expr: str, *, dates: list[str], codes: list[str], cfg: Config, expressions: list[str])","dict[str, Any]","READ_DISK|WRITE_DISK","v0.1","FULL阶段：全样本评估（清洗winsorize+zscore→中性化→rankIC/ICIR→惩罚）；需严格对齐t vs t→t+1收益。 metrics keys: ic_mean, icir, n_days, miss_ratio, len, max_corr [HEURISTIC_FIX_NEEDS_REVIEW]"
"src/fitness/evaluator.py","evaluate_many","(fe: FitnessEvaluator, exprs: list[str], *, dates: list[str], codes: list[str], stage: str = 'fast', cfg: Config, expressions: list[str])","list[dict[str, Any]]","READ_DISK|WRITE_DISK","v0.1","批量评估；应尽可能共享DAG中间量与缓存；返回与输入同序的metrics列表；失败表达式需写明error_code。 metrics keys: ic_mean, icir, n_days, miss_ratio, len, max_corr [HEURISTIC_FIX_NEEDS_REVIEW]"
"src/gp/operators.py","generate_random_expr","(ops: OpRegistry, features: FeatureRegistry, *, max_depth: int, rng_seed: int | None = None)","str","NONE","v0.1","随机生成合法表达式（函数式字符串）；必须遵守窗口常数位置限制与非法运算过滤；用于初始种群大生成再筛（PDF 3.1提升初始种群质量）。"
"src/gp/operators.py","mutate_expr","(expr: str, ops: OpRegistry, features: FeatureRegistry, *, max_depth: int, rng_seed: int | None = None)","str","NONE","v0.1","变异：子树替换/点变异等；需保持语法合法；失败模式：变异后非法需重试有限次数后返回原expr并标记。"
"src/gp/operators.py","crossover_expr","(expr_a: str, expr_b: str, *, rng_seed: int | None = None)","tuple[str, str]","NONE","v0.1","交叉：交换子树产生两个子代；需做深度/节点数裁剪以防膨胀。"
"src/gp/operators.py","enforce_constraints","(expr: str, ops: OpRegistry, *, max_nodes: int, max_depth: int)","str | None","NONE","v0.1","约束修剪：超复杂度则返回None（淘汰）或做hoist/cut；用于反膨胀与避免无效运算。"
"src/gp/selection.py","tournament_select","(population: list[str], fitness: list[float], *, tournament_size: int, rng_seed: int | None = None)","int","NONE","v0.1","锦标赛选择（PDF提到tournament_size权衡收敛速度与多样性）；返回被选中个体索引。"
"src/gp/selection.py","select_elites","(population: list[str], metrics: list[dict[str, Any]], *, k: int)","list[int]","NONE","v0.1","精英保留：按fitness排序选top-k；用于每代保留最优个体避免退化。"
"src/gp/selection.py","parent_child_compete","(parents: list[str], children: list[str], parent_metrics: list[dict[str, Any]], child_metrics: list[dict[str, Any]])","tuple[list[str], list[dict[str, Any]]]","NONE","v0.1","父子竞争机制：子不如父则保留父；并可额外保留未进化但优秀父代（PDF 3.2）；需控制重复率避免趋同。"
"src/gp/dedup.py","canonical_key","(expr: str, ops: OpRegistry, features: FeatureRegistry)","str","NONE","v0.1","表达式去重键：parse→canonicalize→hash；用于同代去重与跨轮候选去重。"
"src/gp/dedup.py","dedup_population","(population: list[str], *, keys: list[str] | None = None)","tuple[list[str], list[int]]","NONE","v0.1","去重并返回保留索引；需要记录重复率（PDF 3.3降低重复率/提升有效公式数量）。"
"src/gp/dedup.py","filter_by_bloat","(population: list[str], complexity: list[dict[str, int]], *, max_nodes: int, max_depth: int)","list[int]","NONE","v0.1","反膨胀过滤：复杂度超限直接淘汰；与length_penalty一致。"
"src/gp/corr_control.py","compute_factor_corr","(factors: list[pd.DataFrame], *, method: str = 'spearman')","np.ndarray(shape=(n,n), float32)","NONE","v0.1","计算因子间相关矩阵（基于面板展平或按日聚合）；用于同代/精英集相关性控制。"
"src/gp/corr_control.py","max_corr_to_set","(candidate: pd.DataFrame, selected: list[pd.DataFrame], *, method: str = 'spearman')","float","NONE","v0.1","计算候选与已选集合的最大相关；用于hard阈值淘汰与soft惩罚。"
"src/gp/corr_control.py","greedy_decorrelate","(candidates: list[dict[str, Any]], *, max_corr: float = 0.5, key: str = 'fitness')","list[dict[str, Any]]","NONE","v0.1","贪心去相关筛选：按key排序逐个纳入，若与已选max_corr超阈值则跳过；用于轮末因子库入库（PDF 3.6降低相关性）。"
"src/gp/factor_library.py","FactorLibrary","(class; init(max_size: int, *, max_corr: float = 0.5))","FactorLibrary","READ_DISK|WRITE_DISK","v0.1","因子库维护：跨轮累计候选→按fitness排序→贪心去相关入库→快照落盘与版本管理；不得包含交易指令。"
"src/gp/factor_library.py","update_library","(lib: FactorLibrary, candidates: list[dict[str, Any]])","dict[str, Any]","NONE","v0.1","合并候选并去重去相关后更新库；返回更新摘要（新增/淘汰/库内最大相关/覆盖率分布）。"
"src/gp/factor_library.py","save_library_snapshot","(lib: FactorLibrary, path: str, *, version_tag: str)","None","WRITE_DISK","v0.1","保存因子库快照到out/libraries；必须包含cfg_fingerprint、数据版本、创建时间、表达式hash等元数据。"
"src/gp/factor_library.py","load_library_snapshot","(path: str)","FactorLibrary","READ_DISK","v0.1","读取快照恢复库；用于run_report或断点续跑。"
"src/gp/evolution.py","EvolutionState","(TypedDict; keys: round_id: int, gen_id: int, population: list[str], metrics: list[dict[str, Any]], rng_state: Any, cfg_fingerprint: str)","type","NONE","v0.1","进化状态结构：用于checkpoint round/gen级保存与恢复；必须可json/pickle序列化。"
